AgeAbove35,Accessibility,Employment,MentalHealth,YearsCodePro,Employed,Skills_dist,has_advanced_degree,salary_per_year_exp,NoHigherEd,HasTopCountry,Gender_Woman,MainBranch_NotDev
1,0,0,0,25,1,1,0,5864.346153846154,0,0,0,0
0,0,1,0,3,0,0,1,8918.0,0,0,0,0
0,0,0,0,6,1,2,1,12272.57142857143,0,0,0,0
0,0,1,0,5,1,1,0,4524.0,0,0,0,0
0,0,1,1,0,0,1,0,8376.0,0,1,0,0
0,0,1,1,7,1,2,0,10809.75,0,1,0,0
0,0,0,0,8,1,2,0,5062.666666666667,0,0,0,0
0,0,1,0,7,0,0,0,16753.5,0,1,0,0
1,0,1,0,25,0,0,0,3769.230769230769,0,1,0,0
0,1,0,0,10,1,0,1,3337.090909090909,0,0,0,0
1,0,1,0,18,1,2,0,2844.684210526316,1,1,0,0
1,0,1,1,7,0,0,1,7026.375,0,0,0,1
0,0,1,0,6,1,2,1,8677.714285714286,0,0,0,0
0,0,0,0,3,1,2,0,1302.0,0,0,0,0
1,0,1,0,25,0,0,0,7067.961538461538,0,0,0,0
0,0,1,0,2,1,2,0,8376.0,0,1,0,0
0,0,1,1,10,1,2,0,4520.454545454545,0,0,0,0
0,0,1,0,4,1,2,0,7264.8,0,1,0,0
0,0,1,0,1,0,1,0,41000.0,0,1,0,0
0,0,1,0,10,0,0,1,9545.454545454546,0,1,0,0
0,0,1,0,15,1,2,0,3715.875,0,0,0,0
0,0,1,0,2,0,1,0,9479.0,0,1,0,0
0,0,1,0,3,1,0,0,10251.0,0,0,0,0
1,0,1,0,5,0,1,0,16935.333333333332,0,1,0,1
0,0,1,0,9,1,1,0,13500.0,0,1,0,0
0,0,1,0,7,0,0,0,3916.5,0,1,0,0
0,0,1,0,6,1,1,0,7258.0,0,0,0,0
0,0,1,0,3,0,1,0,10269.25,0,0,0,0
0,0,0,1,2,0,1,0,8304.0,1,0,0,0
0,0,1,0,5,1,2,1,7566.833333333333,0,0,0,0
0,0,0,0,10,1,2,1,3420.0,0,0,0,0
0,0,1,0,8,1,0,0,22222.222222222223,0,1,0,0
0,0,1,0,3,1,2,1,10122.25,0,1,0,0
0,0,1,0,10,1,2,1,5272.727272727273,0,1,0,0
0,0,1,1,1,0,0,0,6414.0,0,0,1,0
0,0,1,1,3,0,0,1,12118.0,0,1,0,0
0,0,1,0,5,1,1,0,4588.0,0,0,0,0
0,0,1,0,0,1,1,0,19389.0,1,1,0,0
0,0,1,0,7,0,0,0,5404.875,0,1,0,0
0,0,1,0,8,0,1,0,1801.6666666666667,1,0,0,0
0,0,0,1,5,0,0,0,5946.0,0,0,0,0
1,0,0,1,11,0,0,0,15000.0,0,1,0,0
0,0,1,0,7,0,0,1,6486.0,0,1,0,1
1,0,1,0,30,1,2,0,1464.3870967741937,0,0,0,0
0,0,1,0,6,0,0,1,4727.857142857143,0,0,0,0
0,0,1,1,1,0,0,0,4182.0,0,0,0,0
0,0,1,0,2,0,0,0,23333.333333333332,0,1,0,0
1,0,1,0,9,1,0,1,5707.2,0,0,0,0
1,0,1,0,20,1,1,0,6190.476190476191,0,1,0,0
0,0,1,0,2,0,0,0,7504.0,0,0,0,0
0,0,0,0,4,0,0,1,513.6,0,0,0,0
0,1,1,0,4,1,2,0,4507.2,0,0,0,0
1,0,0,0,9,0,0,0,9600.0,0,1,0,1
