id,HaveWorkedWith
58,TypeScript
58,Git
58,React.js
58,Google Cloud Platform
58,Firebase
58,PostgreSQL
59,C#
59,F#
59,SQL
59,Git
59,Microsoft SQL Server
60,Bash/Shell
60,C
60,Dart
60,Go
60,HTML/CSS
60,JavaScript
60,Node.js
60,PHP
60,Python
60,TypeScript
60,Docker
60,Git
60,Kubernetes
60,Yarn
60,React.js
60,AWS
60,DynamoDB
60,Elasticsearch
60,MongoDB
60,MySQL
60,Redis
60,SQLite
61,C++
61,Java
61,Kotlin
61,Objective-C
61,Swift
61,SQLite
62,SQL
62,Git
62,jQuery
62,Google Cloud Platform
62,SQLite
63,JavaScript
63,Node.js
63,PHP
63,TypeScript
63,Docker
63,Git
63,Angular
63,Express
63,Laravel
63,MariaDB
63,MongoDB
63,MySQL
64,C#
64,HTML/CSS
64,PowerShell
64,SQL
64,Git
64,Xamarin
64,ASP.NET
64,ASP.NET Core 
64,jQuery
64,Microsoft Azure
64,Microsoft SQL Server
65,Bash/Shell
65,C
65,C++
65,Go
65,HTML/CSS
65,Java
65,JavaScript
65,Matlab
65,Node.js
65,Python
65,Scala
65,SQL
65,TypeScript
65,Unity 3D
65,Unreal Engine
65,Django
65,FastAPI
65,Flask
65,jQuery
65,React.js
65,MongoDB
65,MySQL
65,SQLite
66,HTML/CSS
66,JavaScript
66,Node.js
66,PHP
66,PowerShell
66,Python
66,SQL
66,Git
66,Angular
66,Express
66,Gatsby
66,jQuery
66,React.js
66,Heroku
66,Firebase
66,MariaDB
66,MongoDB
66,MySQL
66,Redis
67,C++
67,HTML/CSS
67,JavaScript
67,Node.js
67,Perl
67,PHP
67,SQL
67,Git
67,ASP.NET
67,Microsoft Azure
67,SQLite
68,JavaScript
68,Python
68,SQL
68,Docker
68,Git
68,Django
68,jQuery
68,Google Cloud Platform
68,MariaDB
68,MongoDB
68,MySQL
68,PostgreSQL
68,SQLite
69,C++
69,Go
69,JavaScript
69,Node.js
69,Python
69,TypeScript
69,Docker
69,Git
69,Kubernetes
69,React.js
69,AWS
69,DynamoDB
69,Elasticsearch
69,MongoDB
69,Redis
70,C#
70,HTML/CSS
